"","Term","Genotype","Estimate","Std.error","Statistic","p.value","Model","Site.name"
"2076","max","935",0.733066027119113,0.0272085320557723,26.9425055940713,1.47231649266437e-92,"W2.3","Pelorus East"
"2077","max","936",0.751433419273614,0.0261817994511587,28.7006025187607,7.48566450339e-100,"W2.3","Pelorus East"
"2078","max","937",0.640020394773563,0.0270893821998945,23.626245517554,1.92486325856847e-78,"W2.3","Pelorus East"
"2079","max","938",0.763970780809598,0.0227270034946202,33.6151125682029,2.07558822108214e-119,"W2.3","Pelorus East"
"2080","max","939",0.743406435540456,0.0227383687710121,32.693921143903,7.67627432013701e-116,"W2.3","Pelorus East"
"2081","max","940",0.654063406032087,0.028271012507788,23.1354786409545,2.54657811031011e-76,"W2.3","Pelorus East"
"2082","max","941",0.665801012645681,0.0227127209912187,29.3140136271254,2.31505506283539e-102,"W2.3","Pelorus East"
"2083","e","897",36.6453003636581,0.621581303526132,58.9549591594457,7.46971648584884e-201,"W2.3","Pelorus East"
"2084","e","898",37.1712836165017,0.0949853749586432,391.336915105995,0,"W2.3","Pelorus East"
"2085","e","899",37.0183158727281,0.218107227603364,169.725305665006,0,"W2.3","Pelorus East"
"2086","e","900",36.8360256539032,0.415380316477912,88.6802387899426,3.02311643955632e-267,"W2.3","Pelorus East"
"2087","e","901",36.3486749332783,1.28213067434639,28.3502108330793,2.07083580100634e-98,"W2.3","Pelorus East"
"2088","e","902",35.7454027753538,2.32513179033405,15.3734953536626,1.27516381194915e-42,"W2.3","Pelorus East"
"2089","e","903",36.8521808804291,0.366393745987401,100.580813084338,2.20596265330826e-288,"W2.3","Pelorus East"
"2090","e","904",36.2065821589123,0.618554025815557,58.5342276467675,9.96673407840685e-200,"W2.3","Pelorus East"
"2091","e","905",34.9091419832002,0.291829491816338,119.621707065748,8.21767531152245e-318,"W2.3","Pelorus East"
"2092","e","906",34.8725676731862,0.268814419571907,129.727295614281,0,"W2.3","Pelorus East"
"2093","e","907",34.626354388053,0.256272182439971,135.11554027587,0,"W2.3","Pelorus East"
"2094","e","908",36.2389657967036,1.58726749845498,22.8310387707037,5.31287182065886e-75,"W2.3","Pelorus East"
"2095","e","909",35.6536816495552,0.326088975171518,109.337280203361,1.64279608437105e-302,"W2.3","Pelorus East"
"2096","e","910",36.0229804791346,0.412157206458613,87.4010690936491,8.01217127321243e-265,"W2.3","Pelorus East"
"2097","e","911",34.2219203130059,0.354277820138596,96.5962822612437,1.42300740455287e-281,"W2.3","Pelorus East"
"2098","e","912",35.9307597764713,0.367013054071522,97.9004953035519,7.87571630715962e-284,"W2.3","Pelorus East"
"2099","e","913",35.5730206487539,0.375528434556733,94.7279017386357,2.72632873075765e-278,"W2.3","Pelorus East"
"2100","e","914",36.0879763969975,0.522848408979889,69.0218728357756,5.15945335795966e-226,"W2.3","Pelorus East"
"2101","e","915",36.5168869111735,0.978724543953254,37.3106888314815,2.93328237314284e-133,"W2.3","Pelorus East"
"2102","e","916",36.1914972418711,0.725500253292916,49.8848857427746,4.38233034014281e-175,"W2.3","Pelorus East"
"2103","e","917",35.8488686013403,0.405555277189672,88.3945311962351,1.04462798814701e-266,"W2.3","Pelorus East"
"2104","e","918",35.6614053159159,0.377621855624023,94.436814990449,8.95950784622102e-278,"W2.3","Pelorus East"
"2105","e","919",36.2888069842961,NA,NA,NA,"W2.3","Pelorus East"
"2106","e","920",36.7400925183428,0.70544726164339,52.0805657856749,1.25586933599935e-181,"W2.3","Pelorus East"
"2107","e","921",36.0899044083194,6.74643668453151,5.34947648601931,1.48039591735406e-07,"W2.3","Pelorus East"
"2108","e","922",35.6887022093803,0.399276281883466,89.3834766268348,1.45085038563254e-268,"W2.3","Pelorus East"
"2109","e","923",35.8505373550772,0.547522616067578,65.4777287787,1.59991187574499e-217,"W2.3","Pelorus East"
"2110","e","924",36.1950958716626,NA,NA,NA,"W2.3","Pelorus East"
"2111","e","925",36.1372385987083,0.40759255666995,88.6602024677566,3.29737706781393e-267,"W2.3","Pelorus East"
"2112","e","926",36.2373979062963,NA,NA,NA,"W2.3","Pelorus East"
"2113","e","927",35.5252390773341,0.516454892537683,68.7867219202344,1.83883275462781e-225,"W2.3","Pelorus East"
"2114","e","928",35.7766366604494,0.569393620024908,62.8328723790132,6.20848513716895e-211,"W2.3","Pelorus East"
"2115","e","929",36.3523714152554,2.73556286912351,13.2888086125042,5.50180261152015e-34,"W2.3","Pelorus East"
"2116","e","930",36.3741416390827,1.58697679768931,22.9203991463798,2.17678317728113e-75,"W2.3","Pelorus East"
"2117","e","931",36.1176720648459,4.40083805775829,8.20699866498693,3.09066996035096e-15,"W2.3","Pelorus East"
"2118","e","932",36.7513183922692,NA,NA,NA,"W2.3","Pelorus East"
"2119","e","933",35.7124935582604,0.426358518676524,83.7616512720726,9.48036193576043e-258,"W2.3","Pelorus East"
"2120","e","934",36.4836937685483,1.04643536626972,34.8647369388935,3.55457722732814e-124,"W2.3","Pelorus East"
"2121","e","935",35.4069850923234,0.359230103366118,98.5635244945981,5.74782295638416e-285,"W2.3","Pelorus East"
"2122","e","936",35.2202139140745,0.353574046827038,99.6119885781763,9.46591488498618e-287,"W2.3","Pelorus East"
"2123","e","937",34.853681887217,0.331327959425597,105.193904998663,5.81135086657802e-296,"W2.3","Pelorus East"
"2124","e","938",36.9611462584624,0.329743017073582,112.090762638393,9.78778091255448e-307,"W2.3","Pelorus East"
"2125","e","939",36.333657685692,2.27326670753993,15.9830157918475,3.27418462840298e-45,"W2.3","Pelorus East"
"2126","e","940",35.1700492229538,0.366148357067031,96.0540954073302,1.25802631369438e-280,"W2.3","Pelorus East"
"2127","e","941",37.0592511857075,0.27608714601937,134.230266493854,0,"W2.3","Pelorus East"
"2128","hill","712",-28.0692773642571,30.4406408195431,-0.922098766929915,0.356913917516791,"W2.3","St Crispin"
"2129","hill","713",-36.8296958451608,110.531323422024,-0.333205961033686,0.739116024924096,"W2.3","St Crispin"
"2130","hill","714",-28.3461114589842,10.4687410315709,-2.7076905784086,0.00700319398635379,"W2.3","St Crispin"
"2131","hill","715",-61.3831370212256,1357.01707770732,-0.0452338721668355,0.963938636145051,"W2.3","St Crispin"
"2132","hill","716",-63.3118729029802,547.873987057045,-0.115559187693991,0.908047483963901,"W2.3","St Crispin"
"2133","hill","717",-39.0792796178486,NA,NA,NA,"W2.3","St Crispin"
"2134","hill","718",-45.6213911307519,NA,NA,NA,"W2.3","St Crispin"
"2135","hill","719",-63.5668506241192,354.641731535806,-0.179242443772304,0.857818664510127,"W2.3","St Crispin"
